slug;title;author;genre;year
addison-cato;Cato;Addison, Joseph;tragedy;1713
addison-the-drummer-or-the-haunted-house;The drummer or, the haunted house;Addison, Joseph;comedy;1715
andrews-the-mysteries-of-the-castle;The mysteries of the castle;Andrews, Miles Peter;nan;1795
bentley-philodamus;Philodamus;Bentley, Richard;tragedy;1767
berquin-blind-mans-buff;Blind-man's buff;Berquin, Arnaud;drama;1798
berquin-the-honest-farmer;The honest farmer;Berquin, Arnaud;drama;1798
berquin-vanity-punished;Vanity punished;Berquin, Arnaud;drama;1798
betterton-the-amorous-widow;The amorous widow;Betterton, Thomas;comedy;1710
bickerstaff-doctor-last-in-his-chariot;Doctor Last in his chariot;Bickerstaff, Isaac;comedy;1769
bickerstaff-leucothoe;Leucothoe;Bickerstaff, Isaac;nan;1756
bickerstaff-the-modern-poetasters;The modern poetasters;Bickerstaff, Isaac, Jun.;farce;1721
bickerstaff-the-spoild-child;The spoil'd child;Bickerstaff, Isaac;nan;1792
bickerstaff-the-sultan-or-a-peep-into-the-seraglio;The sultan, or a peep into the seraglio;Bickerstaff, Isaac;farce;1787
brand-adelinda;Adelinda;Brand, Hannah;comedy;1798
brand-huinades;Huinades;Brand, Hannah;tragedy;1798
brand-the-conflict;The conflict;Brand, Hannah;comedy;1798
brooke-virginia;Virginia;Brooke, Frances;tragedy;1756
brown-athelstan;Athelstan;Brown, John;tragedy;1756
brown-barbarossa;Barbarossa;Brown, John;tragedy;1755
burgoyne-the-heiress;The heiress;Burgoyne, John;comedy;1786
carey-liberty-chastised;Liberty chastised;Carey, George Saville;farce;1768
carey-the-contrivances;The contrivances;Carey, Henry;nan;1715
carey-the-dupes-of-fancy-or-every-man-his-hobby;The dupes of fancy, or every man his hobby;Carey, George Saville;farce;1792
carey-the-inoculator;The inoculator;Carey, George Saville;comedy;1766
centlivre-a-bold-stroke-for-a-wife;A bold stroke for a wife;Centlivre, Susanna;comedy;1724
centlivre-a-wife-well-managd;A wife well manag'd;Centlivre, Susanna;farce;1715
centlivre-love-at-a-venture;Love at a venture;Centlivre, Susanna;comedy;1706
centlivre-mar-plot;Mar-plot;Centlivre, Susanna;comedy;1711
centlivre-the-artifice;The Artifice;Centlivre, Susanna;comedy;1723
centlivre-the-basset-table;The basset-table;Centlivre, Susanna;comedy;1706
centlivre-the-busie-body;The busie body;Centlivre, Susanna;comedy;1709
centlivre-the-cruel-gift;The cruel gift;Centlivre, Susanna;tragedy;1717
centlivre-the-gotham-election;The Gotham election;Centlivre, Susanna;farce;1715
centlivre-the-perjurd-husband;The perjur'd husband;Centlivre, Susanna;tragedy;1737
centlivre-the-platonick-lady;The platonick lady;Centlivre, Susanna;comedy;1707
centlivre-the-wonder;The wonder;Centlivre, Susanna;comedy;1714
cibber-an-historical-tragedy-of-the-civil-wars;An historical tragedy of the civil wars;Cibber, Theophilus;tragedy;1723
cibber-the-non-juror;The non-juror;Cibber, Colley;comedy;1718
clive-the-rehearsal;The rehearsal;Clive, Catherine;comedy;1753
cobb-english-readings;English readings;Cobb, James;nan;1787
cobb-the-first-floor;The first floor;Cobb, James;farce;1787
colman-new-hay-at-the-old-market;New hay at the old market;Colman, George;drama;1795
colman-the-clandestine-marriage;The clandestine marriage;Colman, George;comedy;1766
colman-the-iron-chest;The iron chest;Colman, George;nan;1796
